2016-06-08 20:30:31 status half-installed libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u4
2016-06-08 20:30:31 status unpacked libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u5
2016-06-08 20:30:31 status unpacked libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u5
2016-06-08 20:30:31 upgrade libksba8:amd64 1.3.2-1 1.3.2-1+deb8u1
2016-06-08 20:30:31 status half-configured libksba8:amd64 1.3.2-1
2016-06-08 20:30:31 status unpacked libksba8:amd64 1.3.2-1
2016-06-08 20:30:31 status half-installed libksba8:amd64 1.3.2-1
2016-06-08 20:30:32 status half-installed libksba8:amd64 1.3.2-1
2016-06-08 20:30:32 status unpacked libksba8:amd64 1.3.2-1+deb8u1
2016-06-08 20:30:32 status unpacked libksba8:amd64 1.3.2-1+deb8u1
2016-06-08 20:30:32 upgrade tzdata:all 2016c-0+deb8u1 2016d-0+deb8u1
2016-06-08 20:30:32 status half-configured tzdata:all 2016c-0+deb8u1
2016-06-08 20:30:32 status unpacked tzdata:all 2016c-0+deb8u1
2016-06-08 20:30:32 status half-installed tzdata:all 2016c-0+deb8u1
2016-06-08 20:30:32 status half-installed tzdata:all 2016c-0+deb8u1
2016-06-08 20:30:32 status unpacked tzdata:all 2016d-0+deb8u1
2016-06-08 20:30:32 status unpacked tzdata:all 2016d-0+deb8u1
2016-06-08 20:30:32 trigproc man-db:amd64 2.7.0.2-5 <ninguna>
2016-06-08 20:30:32 status half-configured man-db:amd64 2.7.0.2-5
2016-06-08 20:30:34 status installed man-db:amd64 2.7.0.2-5
2016-06-08 20:30:34 startup packages configure
2016-06-08 20:30:34 configure tzdata:all 2016d-0+deb8u1 <ninguna>
2016-06-08 20:30:34 status unpacked tzdata:all 2016d-0+deb8u1
2016-06-08 20:30:34 status half-configured tzdata:all 2016d-0+deb8u1
2016-06-08 20:30:34 status installed tzdata:all 2016d-0+deb8u1
2016-06-08 20:30:34 startup archives unpack
2016-06-08 20:30:34 upgrade libxapian22:amd64 1.2.19-1 1.2.19-1+deb8u1
2016-06-08 20:30:34 status half-configured libxapian22:amd64 1.2.19-1
2016-06-08 20:30:34 status unpacked libxapian22:amd64 1.2.19-1
2016-06-08 20:30:34 status half-installed libxapian22:amd64 1.2.19-1
2016-06-08 20:30:34 status half-installed libxapian22:amd64 1.2.19-1
2016-06-08 20:30:34 status unpacked libxapian22:amd64 1.2.19-1+deb8u1
2016-06-08 20:30:34 status unpacked libxapian22:amd64 1.2.19-1+deb8u1
2016-06-08 20:30:34 upgrade initramfs-tools:all 0.120+deb8u1 0.120+deb8u2
2016-06-08 20:30:34 status half-configured initramfs-tools:all 0.120+deb8u1
2016-06-08 20:30:34 status unpacked initramfs-tools:all 0.120+deb8u1
2016-06-08 20:30:34 status half-installed initramfs-tools:all 0.120+deb8u1
2016-06-08 20:30:34 status triggers-pending man-db:amd64 2.7.0.2-5
2016-06-08 20:30:34 status half-installed initramfs-tools:all 0.120+deb8u1
